"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL" 
252,"NCT03961048","Ideal Initial Bolus and Infusion Rate for Erector Spinae Plane Block Catheters",,"Withdrawn","No Results Available","Pain, Postoperative|Pain, Chest","Drug: Ropivacaine 0.2%-Sodium Chloride 0.9% Injectable Solution bilaterally|Drug: Ropivacaine 0.2%-Sodium Chloride 0.9% Injectable Solution unilaterally","Median Effective Dose|Change in pain rating|Change in heart rate|Blood pressure|Change in percent oxygen saturation of hemoglobin|Changes in electrocardiogram tracing|Dermatomal coverage|Opioid consumption|Non-narcotic pain medication consumption","Virginia Commonwealth University","All","18 Years and older   (Adult, Older Adult)","Phase 4","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","HM20014242","July 23, 2019","September 2020","September 2020","May 23, 2019",,"January 27, 2020","Virginia Commonwealth University, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03961048"
253,"NCT03874806","Pharmacokinetic Profile and Dermatomal Coverage of the Erector Spinae Plane Block",,"Withdrawn","No Results Available","Pain, Postoperative|Pain, Chest","Drug: Ropivacaine 0.25%-NaCl 0.9% Injectable Solution|Drug: Ropivacaine 0.2%-NaCl 0.9% Injectable Solution","Cmax|Tmax|Area of analgesia|Duration of analgesia","Virginia Commonwealth University","All","18 Years and older   (Adult, Older Adult)","Phase 4","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","HM20014803","July 1, 2019","July 1, 2020","December 31, 2020","March 14, 2019",,"July 15, 2019","Virginia Commonwealth University, Richmond, Virginia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT03874806/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03874806"
254,"NCT03000673","A Study to Evaluate Safety of Single Doses of BMS-986177 in Patients With End Stage Renal Disease (ESRD) Treated With Hemodialysis",,"Completed","No Results Available","Antithrombotic","Drug: Enoxaparin|Drug: unfractionated heparin (UFH)|Drug: BMS-986177","Number of patients with Adverse events (AEs)|change from baseline in clinical laboratory values|change from baseline in vital signs assessment|change from baseline in Electrocardiogram (ECG) assessment|Maximum observed concentration (Cmax)|Area under the concentration-time curve (AUC)|Dialysate clearance of drug from plasma/serum (CLD)","Bristol-Myers Squibb","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CV010-010","May 23, 2017","October 23, 2017","October 23, 2017","December 22, 2016",,"October 23, 2019","Davita Clinical Research, Lakewood, Colorado, United States|Orlando Clinical Research Center, Orlando, Florida, United States|Davita Clinical Research, Minneapolis, Minnesota, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT03000673/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT03000673/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03000673"
255,"NCT02339415","Targeted Anticoagulation Therapy to Reduce Inflammation and Cellular Activation in Long-term HIV Disease","TACTICAL-HIV","Completed","Has Results","Inflammation|Coagulation|HIV Infection","Drug: Edoxaban 30mg daily|Drug: Matching placebo","Change in Interleukin 6 (IL-6) Plasma Levels From Baseline to 4 Months.|Change in D-Dimer Levels From Baseline to 4 Months","Hennepin Healthcare Research Institute","All","18 Years and older   (Adult, Older Adult)","Phase 2","44","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PCC-008","July 2015","September 2018","September 2018","January 15, 2015","September 6, 2019","September 6, 2019","Hennepin County Medical Center, Minneapolis, Minnesota, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT02339415/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT02339415"
256,"NCT03649711","Chronic Kidney Disease (CKD) Platelet Study",,"Recruiting","No Results Available","Chronic Kidney Diseases|Heart Attack|Stroke, Ischemic","Drug: Ticagrelor 90mg|Drug: Clopidogrel 75mg|Drug: Aspirin 81 mg","ADP induced platelet aggregation|Platelet surface P-selectin expression","University of Arkansas|American Society of Nephrology","All","18 Years to 91 Years   (Adult, Older Adult)","Phase 3","81","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","227997|1241997","November 1, 2018","June 30, 2020","June 30, 2021","August 28, 2018",,"November 19, 2019","Central Arkansas Veterans Affairs Hospital, Little Rock, Arkansas, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States",,"https://ClinicalTrials.gov/show/NCT03649711"
257,"NCT01268683","Glyburide Advantage in Malignant Edema and Stroke Pilot","GAMES-PILOT","Completed","Has Results","Ischemic Stroke","Drug: RP-1127 (Glyburide for injection)","Rate of Recruitment|Safety and Tolerability|Pharmacokinetics/Pharmacodynamics|Clinical and MRI Outcome Data","Remedy Pharmaceuticals, Inc.|University of Maryland, College Park|Massachusetts General Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","10","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RPI 201","May 2011","June 2012","February 2013","December 31, 2010","June 6, 2014","June 6, 2014","Rush University Medical Center, Chicago, Illinois, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01268683"
258,"NCT01643902","Safety of Intravenous Thrombolytics in Stroke on Awakening","SAIL-ON","Completed","Has Results","Stroke","Drug: tPA","Number of Participants With Symptomatic Intracerebral Hemorrhage Within 36 Hours of Treatment|Functional Outcome by the Modified Rankin Scale at 90 Days","Johns Hopkins University|Genentech, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","20","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML28242","January 2013","December 2015","December 2015","July 18, 2012","April 17, 2017","April 17, 2017","Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States|The Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01643902"
259,"NCT02563834","A Novel Positron Emission Tomography (PET) Approach to Measuring Myocardial Metabolism",,"Completed","Has Results","Type 2 Diabetes Mellitus","Drug: thiapalmitate tracer|Drug: Saline|Drug: Insulin","Myocardial Fatty Acid Uptake Rate|Myocardial Oxidation Rate|Myocardial Perfusion Rate","Indiana University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","18 Years to 45 Years   (Adult)","Not Applicable","18","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","10100002643|R21DK071142","January 2007","June 2009","June 2009","September 30, 2015","August 31, 2016","August 31, 2016","Indiana University Hospital GCRC, Indianapolis, Indiana, United States",,"https://ClinicalTrials.gov/show/NCT02563834"
260,"NCT03253328","N-Acetyl-Cysteine (NAC) for Healing of Amputation Stumps in the Setting of Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus|Critical Limb Ischemia|Lower Limb Amputation Knee|Peripheral Arterial Disease","Drug: Active Arm N-acetyl cysteine (NAC)|Drug: Placebo Arm","Stump Healing using the Bates-Jensen Wound Assessment Tool|Determine effect size to power a larger trial","Washington University School of Medicine","All","30 Years to 90 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","201611065","December 15, 2016","December 31, 2020","December 31, 2020","August 17, 2017",,"March 28, 2019","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT03253328"
261,"NCT02933034","Clinical Trial of Manganese-Enhanced MRI (MEMRI) to Assess Peri-Infarct Injury",,"Completed","Has Results","ISCHEMIC CARDIOMYOPATHY","Drug: Manganese-enhanced MRI contrast reagent|Drug: Gadolinium-enhanced MRI contrast reagent","Infarct Size of MEMRI Versus DEMRI Scans|Systolic Blood Pressure|Diastolic Blood Pressure|Heart Rate|QT Interval|Corrected QT (QTc)|Alanine Aminotransferase (ALT)|Aspartate Aminotransferase (AST)|Alkaline Phosphatase (ALP)|Total Bilirubin|Creatinine|Estimated Glomerular Filtration Rate (eGFR)","Stanford University|General Electric","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","33","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","28508","April 2015","February 3, 2019","February 3, 2019","October 14, 2016","February 17, 2020","February 17, 2020","Stanford University School of Medicine, Stanford, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/34/NCT02933034/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02933034"
262,"NCT01548651","Effect of Saxagliptin Treatment on Myocardial Fat Content, and Monocyte Inflammation",,"Terminated","Has Results","Impaired Glucose Tolerance","Drug: Saxagliptin|Drug: Placebo","Myocardial and Hepatic Fat Content (Percentage)|Left Ventricular Ejection Fraction (LVEF)(%).|Monocyte Inflammatory Protein NFkappaB(%)","Baylor College of Medicine","All","30 Years to 70 Years   (Adult, Older Adult)","Phase 4","8","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","H-29171","February 2012","August 25, 2017","August 25, 2017","March 8, 2012","January 13, 2020","January 13, 2020","Baylor College of Medicine, Houston, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/51/NCT01548651/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01548651"
263,"NCT02053909","Ticagrelor Antiplatelet Therapy to Reduce Graft Events and Thrombosis","TARGET","Recruiting","No Results Available","Saphenous Vein Graft Disease","Drug: Aspirin|Drug: Ticagrelor","Saphenous vein graft occlusion|Saphenous vein graft stenosis","Boca Raton Regional Hospital|AstraZeneca|Ottawa Heart Institute Research Corporation","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 4","300","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Brilinta ISSBRIL0220","September 2014","August 2022","August 2023","February 4, 2014",,"July 9, 2019","Boca Raton Regional Hospital, Boca Raton, Florida, United States|University of Ottawa Heart Institute, Ottawa, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02053909"
264,"NCT01849887","Safety of Escalating Doses of Intravenous Bone Marrow-Derived Mesenchymal Stem Cells in Patients With a New Ischemic Stroke",,"Withdrawn","No Results Available","Ischemic Stroke","Biological: bone marrow-derived mesenchymal stem cells|Drug: Placebo","Number of Adverse Events","University of California, Irvine","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DR3-07521","January 2016","January 2016","January 2016","May 9, 2013",,"January 22, 2016","University of California Irvine Medical Center, Orange, California, United States",,"https://ClinicalTrials.gov/show/NCT01849887"
265,"NCT01156571","A Clinical Trial Comparing Cangrelor to Clopidogrel Standard Therapy in Subjects Who Require Percutaneous Coronary Intervention (PCI) (CHAMPION PHOENIX)","CHAMPION","Completed","Has Results","Atherosclerosis|Percutaneous Coronary Intervention|Acute Coronary Syndrome","Drug: cangrelor P2Y12 (platelet) inhibitor|Drug: Clopidogrel - 300 or 600 mg (study arm)|Drug: Clopidogrel 600 mg post cangrelor","The Composite Incidence of All-cause Mortality, Myocardial Infarction (MI), Ischemia-driven Revascularization (IDR) and Stent Thrombosis (ST)|Individual Incidence of Stent Thrombosis (ST), Death, Myocardial Infarction (MI) and Ischemia-driven Revascularization (IDR)|Incidence of Major/Minor Non-coronary Artery Bypass Graft (CABG)-Related Hemorrhage by Clinical Relevant Criteria - GUSTO Severe/Life-threatening, Moderate and Mild","The Medicines Company","All","18 Years and older   (Adult, Older Adult)","Phase 3","11145","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TMC-CAN-10-01","September 2010","December 2012","December 2012","July 5, 2010","June 18, 2013","February 4, 2014","Anderson Area Medical Center, Anderson, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01156571"
266,"NCT01936649","Open-label, Test-retest Study Assessing Reproducibility of Quantitative Measurements of Myocardial Uptake of AdreView.",,"Completed","Has Results","Heart Failure (HF)|Ventricular Dysfunction, Left","Drug: AdreView (Iobenguane I 123 Injection)","To Assess Test-retest Reproducibility of Iobenguane I 123 Injection Myocardial Uptake in Heart Failure (HF) Participants on Planar Imaging at 3 Hours 50 Minutes Following I.V. Injection of AdreView (Iobenguane I 123 Injection)|To Assess the Test-retest Reproducibility of Iobenguane I 123 Injection Myocardial Uptake on Planar Imaging at 15 Minutes Following Administration of AdreView (Iobenguane I 123 Injection)","GE Healthcare|H2O Clinical LLC|Quintiles, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 4","63","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","GE-122-015","August 2013","February 2014","February 2014","September 6, 2013","January 26, 2015","December 8, 2016","GE Healthcare, Princeton, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01936649"
267,"NCT03251963","Fixed Versus Weight-Based Enoxaparin Dosing in Thoracic Surgery Patients",,"Completed","No Results Available","Venous Thromboembolism|Deep Venous Thrombosis|Surgery","Drug: Fixed Dose Enoxaparin|Drug: Variable Dose Enoxaparin","Number of Participants With Venous Thromboembolism Events|Number of Participants With Bleeding Events|Time to Venous Thromboembolism Event or Major Bleeding Event","University of Utah|University of Michigan","All","18 Years and older   (Adult, Older Adult)","Phase 2","62","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","100484","September 15, 2017","March 27, 2019","July 27, 2019","August 16, 2017",,"October 31, 2019","University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT03251963"
268,"NCT03347786","Verapamil for Neuroprotection in Stroke",,"Recruiting","No Results Available","Ischemic Stroke","Drug: Verapamil","Serious Adverse Event","Global Neurosciences Institute","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GNI_verap","April 20, 2017","April 2020","April 2020","November 20, 2017",,"August 14, 2019","Our Lady of Lourdes Medical Center, Camden, New Jersey, United States|Hahnemann University Hospital, Philadelphia, Pennsylvania, United States|Crozer Keystone Health System, Upland, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03347786"
269,"NCT01365221","The Effect of Reloading Prasugrel in a Patient Who Has Already Received a Loading Dose (LD) of Clopidogrel","SWITCH 600/60","Completed","No Results Available","Acute Coronary Syndrome","Drug: Prasugrel","The primary objective is to compare platelet reactivity, as assessed by the VerifyNow P2Y12 assay, between patients receiving a loading dose of clopidogrel and a reloading dose of prasugrel to patients receiving only a loading dose of prasugrel.|The secondary objective of this study is to describe rates of bleeding events associated with a loading dose of prasugrel in patients who have already received a loading dose of clopidogrel.","Rebecca Torguson|Medstar Health Research Institute","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","77","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SWITCH 600/60","October 2010","January 2014","January 2014","June 3, 2011",,"January 2, 2020","The Heart Center, Huntsville, Alabama, United States|Washington Hospital Center, Washington, District of Columbia, United States|Sinai Center for Thrombosis Research, Baltimore, Maryland, United States|Saint Luke's Hospital, Kansas City, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT01365221"
270,"NCT02052635","Ticagrelor vs Clopidogrel in Non-ST Elevation Acute Coronary Syndrome Patients Undergoing PCI With Bivalirudin.","NSTE-ACS","Terminated","Has Results","Non-ST Elevation Acute Coronary Syndrome","Drug: ticagrelor|Drug: clopidogrel","P2Y12 Reaction Units (PRU) Using VerifyNow™ at 0.5 Hours After Loading Dose|P2Y12 Reaction Units (PRU) Using VerifyNow™ at 1 Hour After Loading Dose","AstraZeneca","All","18 Years to 130 Years   (Adult, Older Adult)","Phase 4","34","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D5130L00065","September 2014","April 2015","April 2015","February 3, 2014","April 6, 2016","May 27, 2016","Research Site, Jacksonville, Florida, United States|Research Site, Lake Mary, Florida, United States|Research Site, Macon, Georgia, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Hershey, Pennsylvania, United States|Research Site, Philadelphia, Pennsylvania, United States|Research Site, Pittsburgh, Pennsylvania, United States|Research Site, Rapid City, South Dakota, United States",,"https://ClinicalTrials.gov/show/NCT02052635"
271,"NCT01150266","Study for the Use of Alteplase in Patients Who Awaken With Stroke","AWOKE","Withdrawn","No Results Available","Ischemic Stroke","Drug: Alteplase (tPA)","Symptomatic Intracranial Hemorrhage|Modified Rankin Scale|National Institutes of Health Stroke Scale (NIHSS)","University of California, San Diego|National Institute of Neurological Disorders and Stroke (NINDS)|Scripps Health","All","22 Years and older   (Adult, Older Adult)","Phase 1","0","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AWOKE|5P50NS044148","August 2011","September 2013",,"June 24, 2010",,"September 13, 2013","University of California, San Diego, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT01150266"
272,"NCT01232946","Cooperation of Insulin and GLP-1 on Myocardial Glucose Uptake",,"Completed","Has Results","Type 2 Diabetes","Drug: liraglutide|Drug: insulin detemir|Drug: liraglutide plus insulin detemir","Myocardial Glucose Uptake|Myocardial Fatty Acid Oxidation Rate|Myocardial Fatty Acid Esterification Rate","Indiana University|Novo Nordisk A/S","All","18 Years to 50 Years   (Adult)","Not Applicable","30","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","1105005578","January 2012","September 8, 2017","September 8, 2017","November 2, 2010","August 7, 2019","August 7, 2019","Indiana Clinical Research Center, Indianapolis, Indiana, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT01232946/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01232946"
273,"NCT03245489","Pembrolizumab in Combination With Anti-platelet Therapy for Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck",,"Recruiting","No Results Available","Head and Neck Cancer","Drug: Pembrolizumab|Drug: Clopidogrel|Drug: acetylsalicylic acid","Effect of Pembro + antiplatelet on major cellular parameters|Effect of Pembro + antiplatelets on immunologic markers|Frequency of adverse events reported|Tumor response rate","Medical University of South Carolina","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","102727","October 20, 2017","December 30, 2020","December 30, 2020","August 10, 2017",,"October 30, 2019","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT03245489"
274,"NCT04123067","Pioglitazone Treatment for Hyperglycemic Acute Ischemic Stroke",,"Suspended","No Results Available","Stroke, Acute|Hyperglycemia|Diabetes","Drug: Pioglitazone 45 mg|Drug: Placebo oral tablet","Clinical outcomes|Clinical Outcome|Concentration of markers of neutrophil activation and function|Concentration of stress response markers including cortisol, norepinephrine and epinephrine","Milton S. Hershey Medical Center|National Center for Advancing Translational Science (NCATS)","All","21 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","50","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00011042","July 1, 2020","December 2020","July 2021","October 10, 2019",,"April 9, 2020","Penn State College of Medicine, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04123067"
275,"NCT02318342","Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation","RESOLVE","Recruiting","No Results Available","Prosthetic Valve Thrombosis","Drug: Warfarin","Frequency of patients with structural/functional abnormalities of bioprosthetic valves","Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2000","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSMC-37587","December 2014","December 2019","December 2021","December 17, 2014",,"May 8, 2019","Cedars-Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT02318342"
276,"NCT01794182","Glyburide Advantage in Malignant Edema and Stroke - Remedy Pharmaceuticals","GAMES-RP","Unknown status","No Results Available","Ischemic Stroke|Malignant Edema","Drug: RP-1127 (Glyburide for Injection)","The proportion of patients with a modified Rankin Scale (mRS) at Day 90 ≤ 4 without decompressive craniectomy|Safety of RP-1127 in subjects with a severe anterior circulation ischemic stroke who are likely to develop malignant edema.|Proportion of subjects undergoing DC or dead within 14 days|The change between baseline and 72-96 hours in ipsilateral hemispheric swelling measured by MRI|The change between baseline and 72-96 hours in lesional swelling measured by MRI","Remedy Pharmaceuticals, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","83","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","RPI 203","May 2013","August 2015","April 2016","February 18, 2013",,"June 2, 2015","University of Arizona Medical Center, Tucson, Arizona, United States|Stanford University Medical Center, Stanford, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|University of Florida, Jacksonville, Jacksonville, Florida, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Maine Medical Center, Scarborough, Maine, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|UMASS Memorial Medical Center, Worcester, Massachusetts, United States|Cleveland Clinic, Cleveland, Ohio, United States|Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Oregon Health & Science University Hospital, Portland, Oregon, United States|Abington Memorial Hospital, Abington, Pennsylvania, United States|UPMC Presbyterian Hospital, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Utah Healthcare, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01794182"
277,"NCT03956017","Anti-oxidant Therapy and Postoperative Cardiac Events (ACE) Trial, Preoperative Intervention in Vascular Surgery","ACE","Active, not recruiting","No Results Available","Myocardial Injury","Drug: Ubiquinone|Drug: Placebo","BNP levels following surgery|Cardiac Troponin levels following surgery|Change in Troponin levels from baseline to peak|Number of participants with adverse cardiac outcomes following surgery|Number of participants who died|Number of participants requiring coronary revascularization|Number of participants with new heart failure|Number of participants with new onset Atrial Fibrillation (A-Fib)|Number of participants with infection|Number of participants with a surgical graft failure|Length of stay|Rate of readmission at 1 year following discharge","Minneapolis Veterans Affairs Medical Center","All","Child, Adult, Older Adult","Early Phase 1","341","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IND 119600 Coenzyme Q10","August 5, 2013","August 4, 2021","August 4, 2022","May 20, 2019",,"May 30, 2019","Va Medical Center, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03956017"
278,"NCT01304095","Ranolazine, Ethnicity and the Metabolic Syndrome","REMS","Unknown status","No Results Available","Coronary Artery Disease|Angina|Metabolic Syndrome","Drug: Ranolazine","Exercise Duration|fasting glucose|Angina|Concomitant medications|lipid profile|HgbA1c","Atlanta Heart Specialists, LLC|Gilead Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 4","160","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AHS-REMS-001","January 2011","July 2013","November 2013","February 25, 2011",,"July 11, 2013","Atlanta Heart Specialist, LLC, Cumming, Georgia, United States|Atlanta Heart Specialists, LLC, Tucker, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT01304095"
279,"NCT03358355","Unacylated Ghrelin to Improve FuncTioning in PAD: The GIFT Trial","GIFT","Completed","Has Results","Peripheral Artery Disease|PAD|Peripheral Arterial Disease","Drug: unacelyated ghrelin","Levels of Unacylated Ghrelin|Brachial Artery Flow-mediated Dilation (FMD)","Northwestern University","All","55 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","9","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STU00202400","June 7, 2016","August 30, 2017","August 30, 2017","November 30, 2017","March 12, 2020","March 12, 2020","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/55/NCT03358355/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03358355"
280,"NCT01968226","TRACER RGD-K5 Carotid Plaque Imaging Study","TRACER","Terminated","Has Results","Carotid Artery Disease|Carotid Stenosis","Drug: [F-18] RDG-K5","Target to Background Ratio (TBR)","The Cleveland Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","3","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","K5 IND","November 2013","June 2016","June 2016","October 23, 2013","August 10, 2017","September 12, 2017","Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01968226"
281,"NCT02704052","Real-time Anti-Factor Xa Measurements in Surgical Patients to Examine Enoxaparin Metabolism and Optimize Enoxaparin Dose",,"Completed","No Results Available","Deep Venous Thrombosis|Pulmonary Embolus|Venous Thromboembolism","Drug: Real time enoxaparin dose adjustment|Drug: Standard enoxaparin dose","Venous thromboembolism|Re-operative hematoma","University of Utah","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","116","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB_00086103","March 2016","July 2018","October 2018","March 9, 2016",,"May 24, 2019","University of Utah Hospitals, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02704052"
