"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL" 
135,"NCT01273467","A Safety and Tolerability Study of 42037788 (Referred to as CNTO 0007) Compared With Placebo in Patients Who Have Experienced Ischemic Cerebral Infarction (Also Known as Stroke)",,"Completed","No Results Available","Stroke|Ischemia|Infarction","Drug: CNTO 0007 or placebo (Stage A)|Drug: CNTO 0007 or placebo (Stage B)","The number and type of adverse events reported|Changes in clinical laboratory test values|Changes in vital signs measurements|Changes in electrocardiograms|Blood concentration of CNTO 0007","Janssen Research & Development, LLC","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","13","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CR016510|42037788","December 2010",,"July 2013","January 10, 2011",,"March 18, 2014","Portland, Oregon, United States|Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01273467"
136,"NCT03495206","Safety, Tolerability and Pharmacokinetics of Y-2(Edaravone And Borneol) Sublingual Tablet",,"Recruiting","No Results Available","Stroke, Acute|Intracranial Hemorrhages","Drug: Y-2(Edaravone And Borneol) Sublingual Tablet","Number of participants who experience treatment-related adverse events (AEs) and serious adverse events (SAEs)|Maximum Plasma Concentration [Cmax]|Time of Observed Cmax[tmax]|Area Under the concentration-time Curve from time zero to the last detectable concentration[AUC0-t]","Yantai YenePharma Co., Ltd.","All","18 Years to 55 Years   (Adult)","Phase 1","24","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Y-2-001","October 25, 2018","December 2020","February 2021","April 11, 2018",,"February 17, 2020","OSF Healthcare System d/b/a Saint Francis Medical, Peoria, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03495206"
137,"NCT01688570","Mechanisms of Neuromuscular Fatigue Post Stroke",,"Completed","No Results Available","Stroke","Drug: duloxetine|Drug: Cyproheptadine|Drug: Placebo","Force generation|Surface electromyography (EMG)of lower leg muscles.","Medical College of Wisconsin","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","27","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","UL1RR031973-02","August 2011","May 2015","May 2015","September 20, 2012",,"November 5, 2015","Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT01688570"
138,"NCT02448069","Safety and Feasibility of Argatroban, Tissue Plasminogen Activator and Intra-arterial Therapy in Stroke","ARTSS-IA","Completed","No Results Available","Stroke|Cerebral Ischemia","Drug: Argatroban","Safety as measured by the incidence (absolute number) of symptomatic intracranial hemorrhage (sICH)|Feasibility of combining Argatroban with usual care as measured by success of starting the study medication bolus before the end of rt-PA infusion. 1. CT to tPA time, 2. CT to groin-puncture compared to institutional stroke-center database|Safety as measured by the incidence (absolute number of cases) of: 1. Groin or retroperitoneal hematoma 2. Major systemic hemorrhage requiring transfusion 3. Arterial perforation or dissection|Rates and completeness of arterial reperfusion as measured by cerebral angiography. Assessed at time of diagnostic (first intracranial injection unilateral to the occlusive lesion) and at the termination of study procedure.|A NIH Stroke Scale (NIHSS) assessment will be performed at baseline and repeated at 24 hours, 48 hours and Day 7/discharge (whichever comes first).","The University of Texas Health Science Center, Houston","All","18 Years and older   (Adult, Older Adult)","Phase 2","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-15-0327","May 2015","August 2016","August 2016","May 19, 2015",,"June 21, 2017","University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02448069"
139,"NCT01586975","Aspirin Resistance and Stroke Risk: Platelet Function Analysis in Patients With Ischemic Events",,"Completed","Has Results","Stroke|Myocardial Infarctions","Drug: Clopidogrel|Drug: Aspirin 81 mg|Drug: Aspirin >300 mg","PFA1","Northwestern University","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","93","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Aspirin Resistance and Stroke|IRB#0996-007 FUND#7810","July 2007","April 2010","December 2011","April 27, 2012","December 3, 2015","December 31, 2015","Northwestern University, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT01586975"
140,"NCT01968226","TRACER RGD-K5 Carotid Plaque Imaging Study","TRACER","Terminated","Has Results","Carotid Artery Disease|Carotid Stenosis","Drug: [F-18] RDG-K5","Target to Background Ratio (TBR)","The Cleveland Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","3","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","K5 IND","November 2013","June 2016","June 2016","October 23, 2013","August 10, 2017","September 12, 2017","Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01968226"
141,"NCT02133573","Randomized Trial of Maternal Progesterone Therapy",,"Active, not recruiting","No Results Available","Congenital Heart Disease|Periventricular Leucomalacia|Brain Development|Cardiac Surgery|Neurodevelopmental Disability|Fetal Neuroprotection","Drug: Progesterone|Drug: Vaginal lubricant","Motor Scale of the Bayley Scales of Infant and Toddler Development-III|Cognitive and Language Scales of the Bayley Scale of Infant and Toddler Development-III|Fetal brain growth and maturation by MRI|Myelination during fetal brain development by MRI|Brain white matter injury by MRI","Children's Hospital of Philadelphia","All","Child, Adult, Older Adult","Phase 2","102","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","13-010710","May 2014","December 2021","December 2021","May 8, 2014",,"March 9, 2020","The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02133573"
142,"NCT01747408","Treatment of Subarachnoid Hemorrhage With Human Albumin","ALISAH","Terminated","No Results Available","Subarachnoid Hemorrhage","Drug: Human Albumin","Number of participatns with cardiovascular adverse events as a measure of safety and tolerability|GOS|mRs|NIHSS|SIS","Baylor College of Medicine","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","47","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-21012","June 2006","July 2010","May 2011","December 11, 2012",,"December 11, 2012","Baylor College of Medicine, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01747408"
143,"NCT01602471","[F-18] RGD-K5 Positron Emission Tomography (PET) in Participants With Carotid Artery Stenosis",,"Terminated","Has Results","Carotid Stenosis","Drug: [F-18]RDG-K5","[F-18]RDG-K5 Uptake by Carotid Plaque on PET Scan","Siemens Molecular Imaging","All","18 Years and older   (Adult, Older Adult)","Phase 2","5","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","K5-C200","May 2012","March 2013","March 2013","May 21, 2012","September 27, 2013","September 27, 2013","Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01602471"
144,"NCT02498379","PET Imaging of Natriuretic Peptide Receptor C (NPR-C) in Carotid Atherosclerosis (Volunteer - BioD and Safety Study)",,"Completed","No Results Available","Atherosclerosis","Drug: Cu[64]-25%CANF-Comb","Biodistribution, dosimetry and safety of Cu[64]-25%CANF-Comb in normal healthy adult volunteers.","Washington University School of Medicine","All","21 Years and older   (Adult, Older Adult)","Early Phase 1","8","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201409006V","October 2014","April 2015","April 2015","July 15, 2015",,"April 28, 2016","Washington University in St.Louis, St.Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02498379"
145,"NCT04007263","A Multiple Ascending Dose Study of Safety and Pharmacokinetics of NP10679 in Normal Healthy Volunteers",,"Completed","No Results Available","Stroke, Ischemic|Pain, Postoperative|Substance Abuse|Subarachnoid Hemorrhage","Drug: Placebo|Drug: NP10679","Incidence of adverse events as a measure of safety and tolerability|Plasma concentration of parent drug","Neurop Inc.|National Institute of Neurological Disorders and Stroke (NINDS)|Pharmaron","All","18 Years to 55 Years   (Adult)","Phase 1","24","Industry|NIH|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NP10679-002|3R44NS071657-06","April 4, 2019","August 30, 2019","October 10, 2019","July 5, 2019",,"November 4, 2019","Pharmaron CPC, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04007263"
146,"NCT03026504","Baricitinib in Relapsing Giant Cell Arteritis",,"Active, not recruiting","No Results Available","Arteritis, Giant Cell","Drug: Baricitinib","Percentage of subjects experiencing adverse events|Giant Cell Arteritis relapse-free survival","Matthew J Koster|Eli Lilly and Company|Mayo Clinic","All","50 Years and older   (Adult, Older Adult)","Phase 2","15","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-008993","March 9, 2017","June 2020","June 2021","January 20, 2017",,"March 6, 2020","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03026504"
147,"NCT01873716","Indocyanine Green Fluorescence Uptake in Human Carotid Artery Plaque","BRIGHT-CEA","Completed","No Results Available","Atherosclerosis|Atherosclerotic Plaque|Carotid Stenosis","Drug: Indocyanine green","Tissue uptake of indocyanine green in carotid plaque|Relationship of indocyanine green uptake to carotid plaque histology","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 1","5","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2012P000895","May 2013","January 2016","January 2016","June 10, 2013",,"February 2, 2017","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01873716"
148,"NCT01953705","n-3 PUFA for Vascular Cognitive Aging",,"Active, not recruiting","No Results Available","Age Related Cognitive Decline|Alzheimer's Disease|Vascular Dementia|Endothelial Dysfunction|Executive Dysfunction","Drug: Omega 3 PUFA|Drug: Placebo","total cerebral white matter hyperintensity volume|biomarkers of endothelial health|total brain atrophy|medial temporal lobe atrophy|ventricular expansion","Oregon Health and Science University|National Institute on Aging (NIA)","All","75 Years and older   (Older Adult)","Phase 2","102","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","R01AG043398|R01AG043398-01A1","May 2014","July 2019","August 2019","October 1, 2013",,"June 17, 2019","Oregon Health & Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT01953705"
149,"NCT01396317","Study of Tocilizumab to Treat Polymyalgia Rheumatica",,"Completed","Has Results","Polymyalgia Rheumatica (PMR)","Drug: Tocilizumab","Proportion of Patients in Disease Remission at Six Months From Trial Entry|Number of Participants With Adverse Events as a Measure of Safety and Tolerability|Proportion of Patients Able to Achieve Disease Remission (DR) Off Corticosteroids, Without Disease Relapse or Recurrence|Proportion of Patients Who Develop Disease Relapses|The Cumulative Dose of Prednisone|Total Number of Relapses/Recurrences","Hospital for Special Surgery, New York|Genentech, Inc.","All","50 Years and older   (Adult, Older Adult)","Phase 2","10","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11081","April 2011","December 2015","January 2016","July 18, 2011","January 17, 2018","January 17, 2018","Hospital for Special Surgery, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01396317"
150,"NCT03068442","The Role of Large Artery Plaque Imaging Features in Predicting Inflammation and Cognition",,"Recruiting","No Results Available","Cognitive Impairment|Carotid Artery Plaque|Inflammation","Drug: Imaging with flutemetamol F 18 PET/CT","Carotid intraplaque hemorrhage correlation with carotid plaque inflammation on immunohistochemistry.|Carotid MRI-detected intraplaque hemorrhage and prediction of brain inflammation on PET/CT.|Preoperative MRI-detected carotid intraplaque hemorrhage and prediction of cognitive improvement after endarterectomy.","Scott Mcnally|American Heart Association|University of Utah","All","18 Years and older   (Adult, Older Adult)","Phase 2","45","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","17SDG33460420","February 17, 2017","September 10, 2020","September 10, 2020","March 1, 2017",,"January 30, 2020","University of Utah, Salt Lake City, Utah, United States|George E. Wahlen Department of Veterans Affairs Medical Center, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT03068442"
151,"NCT03168581","A Proof of Concept Study to Evaluate CN-105 in ICH Patients","CATCH","Completed","No Results Available","Intracerebral Hemorrhage","Drug: CN-105","CN-105 safety assessment|Mortality|In-hospital neurological deterioration|Improvement in 30-day mortality|Improvement in 30-day functional outcomes","AegisCN LLC|Duke Clinical Research Institute|PharPoint Research, Inc.","All","30 Years to 80 Years   (Adult, Older Adult)","Phase 2","38","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CATCH|5R01FD005387-02","August 28, 2017","September 30, 2019","January 25, 2020","May 30, 2017",,"March 11, 2020","A.B. Chandler Medical Center-University of Kentucky, Lexington, Kentucky, United States|Duke University Health System, Durham, North Carolina, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Virginia Health Systems, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03168581"
152,"NCT04063215","A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy for the Treatment of Traumatic Brain Injury and Hypoxic-Ischemic Encephalopathy",,"Recruiting","No Results Available","Traumatic Brain Injury","Drug: HB-adMSCs","Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total Bilirubin|White blood cell|Red blood cell|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basos|Absolute Neutrophils|Absolute Lymphs|Absolute monocytes|Absolute Eos|Absolute Basos|Immature Granulocytes|Absolute Immature Granulocytes|Platelets|Prothrombin Time|INR|Urine Pregnancy|Whole brain MRI|PET/DT-MRI|Glasgow Outcome Score|Galveston Orientation and Amnesia Test|Rivermead Post-Concussion Symptoms Questionnaire|Automated Neuropsychological Assessment Metrics|Verbal Selective Reminding Test|Verbal Fluency Test|Stroop|Interleukin 1-alpha|Interleukin 4|Tumor necrosis factor alpha|Interleukin 6|Interleukin 10","Hope Biosciences|The University of Texas Health Science Center, Houston","All","18 Years to 55 Years   (Adult)","Phase 1|Phase 2","24","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Neurologic Injury","January 1, 2020","August 29, 2021","August 29, 2021","August 21, 2019",,"February 13, 2020","Memorial Hermann Hospital-Clinical Research Unit (MMH-CRU), Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04063215"
153,"NCT01996436","The Intra-arterial Vasospasm Trial","iVAST","Recruiting","No Results Available","Cerebral Vasospasm","Drug: Nicardipine|Drug: Verapamil|Drug: Nicardipine + Verapamil + Nitroglycerin","Post infusion improvement ratio(PIIR)|To grade clinical outcome using Modified Rankin score","The University of Texas Health Science Center, Houston|Yale University|Thomas Jefferson University|University of Illinois at Chicago|Wake Forest University Health Sciences|Temple University|Geisinger Clinic|Northwell Health|University of Michigan|Lenox Hill Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","330","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Health Services Research","IVT_201310 (HSC-MS-13-0586)","August 2016","August 2020","December 2020","November 27, 2013",,"May 8, 2018","Yale School of Medicine, New Haven, Connecticut, United States|University of Illinois College of Medicine at Chicago, Chicago, Illinois, United States|University of Michigan, Ann Arbor, Michigan, United States|Northwell Health, Manhasset, New York, United States|Lenox Hill, New York, New York, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|Geisinger Clinic, Danville, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Temple University, Philadelphia, Pennsylvania, United States|University of Texas Medical School at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01996436"
154,"NCT02283294","Apixaban for Early Prevention of Recurrent Embolic Stroke and Hemorrhagic Transformation","AREST","Completed","No Results Available","Transient Ischemic Attack|Stroke|Atrial Fibrillation","Drug: Apixaban|Drug: Warfarin","Composite endpoint of fatal stroke, recurrent ischemic stroke, or TIA|Intracranial hemorrhage assessed by MRI/CT","University of South Florida|Bristol-Myers Squibb","All","18 Years and older   (Adult, Older Adult)","Phase 3","91","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO00019754","April 2015","June 2019","June 2019","November 5, 2014",,"August 19, 2019","Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center, Torrance, California, United States|Bayfront Health St Petersburg, Saint Petersburg, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|University of South Florida, Tampa, Florida, United States|University of Louisville, Louisville, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT02283294"
155,"NCT02541032","PeRiodontal Treatment to Eliminate Minority InEquality and Rural Disparities in Stroke","PREMIERS","Recruiting","No Results Available","Periodontal Disease|Stroke|TIA","Procedure: Intensive dental treatment|Procedure: Standard dental treatment|Drug: Arestin","Ischemic Stroke|Transient ischemic attack (TIA)|Myocardial infarction (MI)|Cardiovascular Death|Progression of Atherosclerosis|Vascular Cognitive Impairment|Blood Pressure|hs-CRP|hemoglobin A1c|Fasting Lipids","University of South Carolina|University of North Carolina, Chapel Hill","All","18 Years and older   (Adult, Older Adult)","Phase 3","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","00044329","December 2015","June 2019","June 2020","September 4, 2015",,"April 18, 2019","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|University of South Carolina School of Medicine Department of Neurology, Columbia, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02541032"
156,"NCT01997255","Adjunctive Everolimus (RAD 001) Therapy for Epilepsy in Children With Sturge-Weber Syndrome (SWS)",,"Withdrawn","No Results Available","Sturge Weber Syndrome","Drug: Everolimus","Evaluate the clinical effectiveness of Everolimus as an adjunct treatment to reduce the seizure activity|Clinical progression of facial and/or body port-wine hemangioma|Clinical progression of glaucoma","Baylor College of Medicine|Novartis Pharmaceuticals","All","2 Years to 18 Years   (Child, Adult)","Phase 2","0","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-33251|CRAD001MUS214T","April 2014","April 2016","April 2016","November 28, 2013",,"May 5, 2016","Texas Children's Hospital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01997255"
157,"NCT02429453","FFP Versus PCC in Intracranial Hemorrhage",,"Withdrawn","No Results Available","Intracranial Hemorrhage, Traumatic|Intracranial Hemorrhage, Spontaneous","Drug: Four Factor Prothrombin Complex Concentrate|Biological: Fresh Frozen Plasma","Rapid reversal of warfarin as measured by international normalized ratio (INR) drawn at 30 minutes after transfusion|Radiographic expansion of traumatic intracerebral hemorrhage as measured by CT scan within 24 hours of presentation|Timing of reversal of warfarin as measured by INR drawn at 3 hours, 8 hours and 24 hours after transfusion|Thromboelastography response as measured by results of ROTEM analysis at 30 minutes and 24 hours after transfusion|Absolute INR reversal as measured by INR drawn 24 hours after transfusion|Need for operative intervention as measured by need for neurosurgical procedure during the hospitalization|Estimated blood loss during any neurosurgical procedure|Further transfusion needs as measured by number of units of blood/platelet/plasma products transfused during the hospitalization|In hospital mortality|Total hospital cost|30 day outcome as measured by the Glasgow outcome score|Complications as measured by development of deep vein thrombosis, pulmonary embolism, myocardial infarction, stroke, unanticipated intubation, heart failure, or need for aggressive diuresis during the hospitalization","University of Utah","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB_00078143","April 2015","March 2016","March 2016","April 29, 2015",,"November 16, 2016","University of Utah Medical Center, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02429453"
158,"NCT02549716","Clinical, Pharmacological and Molecular Effects of IV and Oral Acetaminophen in Adults With aSAH","aSAH","Terminated","Has Results","Subarachnoid Hemorrhage|Stroke","Drug: IV acetaminophen|Drug: Oral acetaminophen|Drug: Oral placebo|Drug: IV placebo","Bioavailability of Acetaminophen in Cerebral Spinal Fluid (CSF) and Blood|Concentrations of Interleukin-1 (IL-1), Interleukin-6 (IL-6), and Thromboxane A-2 (TXA-2) in Cerebral Spinal Fluid (CSF) and Blood|Number of Febrile Periods|Incidence of Vasospasm","Milton S. Hershey Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 4","3","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRBSTUDY00002767","January 5, 2017","June 8, 2018","June 8, 2018","September 15, 2015","April 10, 2019","April 10, 2019","Penn State Hershey Medical Center, Hershey, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/16/NCT02549716/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02549716"
159,"NCT03454893","Open-Label, Study Of Efficacy and Safety Of AVR-RD-01 for Treatment -Naive Subjects With Classic Fabry Disease",,"Recruiting","No Results Available","Fabry Disease","Drug: AVR-RD-01","Incidence of Treatment-Emergent Adverse Events of AVR-RD-01 drug product|Change in the average number of Gb3 inclusions (ie, myelinosomes) per kidney peritubular capillary (PTC) per subject","AvroBio","Male","16 Years to 50 Years   (Child, Adult)","Phase 1|Phase 2","12","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AVRO-RD-01-201","February 21, 2018","July 2021","November 2021","March 6, 2018",,"February 10, 2020","Hackensack University Medical Center, Hackensack, New Jersey, United States|Baylor University Medical Center, Houston, Texas, United States|Royal Melbourne Hospital, Melbourne, Parkville VIC, Australia|Royal Perth Hospital, Perth, Australia|Alberta Children's Hospital, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT03454893"
160,"NCT02893826","Safety/Pharmacokinetic Study Comparing Intracisternal EG-1962 to Standard of Care Enteral Nimodipine in Adults With aSAH",,"Terminated","No Results Available","Subarachnoid Hemorrhage, Aneurysmal","Drug: EG-1962 (nimodipine microparticles)|Drug: Enteral Nimodipine","Incidence and severity of adverse events|Proportion of subjects with delayed cerebral infarctions present on CT at Day 30|Pharmacokinetic (PK) profile of EG-1962 as measured by maximum drug concentration in plasma (Cmax)|Pharmacokinetic (PK) profile of EG-1962 as measured by time to reach maximum drug concentration in plasma (Tmax)|Pharmacokinetic (PK) profile of EG-1962 as measured by steady state concentration (Css)|Pharmacokinetic (PK) profile of EG-1962 as measured by AUC area under the plasma concentration-time curve (AUC) from 0 to 24 hours (AUC024h)|Pharmacokinetic (PK) profile of EG-1962 as measured by AUC from 0 to Day 10 (AUC0-10)|Pharmacokinetic (PK) profile of EG-1962 as measured by AUC from 0 to Day 14 (AUC0-14)|Pharmacokinetic (PK) profile of EG-1962 as measured by AUC from 0 to last plasma concentration (AUC0-last)","Edge Therapeutics Inc","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","6","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EG-01-1962-04","September 2016","December 2017","March 2018","September 9, 2016",,"July 26, 2018","Dignity Health; St. Joseph's Hospital and Medical Center, Phoenix, Arizona, United States|University of California San Francisco, San Francisco, California, United States|University of Maryland Medical Systems, Baltimore, Maryland, United States|University of Alberta Hospital/Mackenzie Health Sciences Centre, Edmonton, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT02893826"
