"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL" 
558,"NCT03795428","Long-Term, Open Label Extension Study of PB1046 in PAH Subjects Following Completion of Study PB1046-PT-CL-0004","VIP Extend","Recruiting","No Results Available","Pulmonary Arterial Hypertension","Drug: PB1046 Injection","Incidence and Severity of Adverse Events|Incidence of Clinical Laboratory Abnormalities|Change in Diastolic Blood Pressure from baseline|Change in Systolic Blood Pressure from baseline|Change in Oral Body Temperature from baseline|Change in Respiratory Rate from baseline|Change in Heart Rate from baseline|12-Lead ECG - Incidence of clinically significant abnormal ECG findings as measured by 12 Lead ECG|Incidence of Immunogenicity|Survival|Change from baseline in 6MWD (6 minute walk distance test)|Change from baseline in NT-proBNP|Change from baseline in NYHA/WHO Functional Class (FC)|Change from baseline in emPHasis-10 (Health Related Quality of Life) score|Change from baseline in Borg Dyspnea Index (BDI)|Incidence of Clinical Worsening|Change in REVEAL Registry Risk Calculator Score","PhaseBio Pharmaceuticals Inc.","All","18 Years to 79 Years   (Adult, Older Adult)","Phase 2","63","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PB1046-PT-CL-0006","April 10, 2019","January 15, 2024","February 15, 2024","January 7, 2019",,"February 25, 2020","Emory University, The Emory Clinic, Atlanta, Georgia, United States|University of Rochester Medical Center, Rochester, New York, United States|UPMC Presbyterian, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03795428"
559,"NCT02119091","Race Difference Moxifloxacin-induced QT Prolongation Between Healthy Chinese and Caucasian Volunteers",,"Unknown status","No Results Available","Cardiac Toxicity","Drug: Moxifloxacin","ΔΔQTcF","Haiyan Li|Food and Drug Administration (FDA)|Spaulding Clinical Research LLC|BioClinica, Inc.|Peking University|Peking University Third Hospital","All","18 Years to 45 Years   (Adult)","Phase 1","80","Other|U.S. Fed|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PUTH_CTC_2013_001","April 2014","June 2014","December 2014","April 21, 2014",,"April 21, 2014","Spaulding Clinical Research LLC, West Bend, Wisconsin, United States|Peking University Third Hospital Clinical Trial Center, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02119091"
560,"NCT02889367","A Study to Evaluate the Pharmacokinetics and the Effect on Cardiac Repolarization of Odalasvir Administered as a Single Dose Tablet Under Fed Conditions in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: Odalasvir 100 mg|Drug: Placebo|Drug: Odalasvir 500 mg|Drug: Odalasvir (Up to maximum 1000 mg)","The Relationship Between the Plasma Concentrations of Odalasvir and Changes in the QT/QTc Interval Using Exposure-response (ER) Analysis|Maximum Plasma Concentration (Cmax) of Odalasvir|Area Under the Plasma Concentration-Time Curve From Time Zero to Last Quantifiable Time (AUC [0-last]) of Odalasvir|Area Under the Plasma Concentration-Time Curve From Time Zero to Infinite Time (AUC [0-infinity]) of Odalasvir|PR Interval Changes and the Relationship Between the Plasma Concentrations of Odalasvir and PR Interval Changes Using ER Analysis|Number of Participants With Adverse Events as a Measure of Safety and Tolerability","Janssen Research & Development, LLC","All","18 Years to 50 Years   (Adult)","Phase 1","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","CR108163|64294178HPC1002","September 12, 2016","March 4, 2017","March 4, 2017","September 5, 2016",,"April 10, 2017","Tempe, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT02889367"
561,"NCT00894387","Six Months Efficacy and Safety of Aliskiren Therapy on Top of Standard Therapy, on Morbidity and Mortality in Patients With Acute Decompensated Heart Failure","ASTRONAUT","Completed","Has Results","Acute Decompensated Heart Failure|Congestive Heart Failure","Drug: Aliskiren|Drug: Placebo","Time to Event Analysis: Number of Patients Experienced the First Confirmed Occurrence of Either Cardiovascular Death or Heart Failure (HF) Re-hospitalization Within 6 Months|Time to Event Analysis: Number of Patients Experienced the First Confirmed Occurrence of Either Cardiovascular Death or Heart Failure (HF) Re-hospitalization Within 12 Months|Change From Baseline in the Clinical Summary Score to 1 Month, 6 Months and 12 Months|Time to Event Analysis: Number of Patients With First Cardiovascular (CV) Event Hospitalized for an Acute Heart Faliure (AHF) Event Within 6 Months|Time to Event Analysis: Number of Patients With All-cause Mortality Hospitalized for an AHF Event Within 12 Months|Change From Baseline in N-terminal Pro-brain Natriuretic Peptide (NT-proBNP) Level at 1 Month, 6 Months, and 12 Months|Time to Event Analysis: Number of Patients With First Cardiovascular (CV) Event Hospitalized for an Acute Heart Faliure (AHF) Event Within 12 Months","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 3","1639","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CSPP100A2368|2009-010236-18","May 2009","August 2012","August 2012","May 7, 2009","October 10, 2013","November 7, 2013","Novartis Investigative Site, Mobile, Alabama, United States|Novartis Investigative Site, Tucson, Arizona, United States|Novartis Investigative Site, Los Angeles, California, United States|Novartis Investigative Site, San Diego, California, United States|Novartis Investigative Site, Sylmar, California, United States|Novartis Investigative Site, Torrance, California, United States|Novartis Investigative Site, Hartford, Connecticut, United States|Novartis Investigative Site, Washington, District of Columbia, United States|Novartis Investigative Site, Washington, District of Columbia, United States|Novartis Investigative Site, Jacksonville, Florida, United States|Novartis Investigative Site, Macon, Georgia, United States|Novartis Investigative Site, Oakbrook Terrace, Illinois, United States|Novartis Investigative Site, Iowa City, Iowa, United States|Novartis Investigative Site, Lafayette, Louisiana, United States|Novartis Investigative Site, Detroit, Michigan, United States|Novartis Investigative Site, Kalamazoo, Michigan, United States|Novartis Investigative Site, St. Louis, Missouri, United States|Novartis Investigative Site, Cherry Hill, New Jersey, United States|Novartis Investigative Site, Newark, New Jersey, United States|Novartis Investigative Site, Bronx, New York, United States|Novartis Investigative Site, Buffalo, New York, United States|Novartis Investigative Site, Buffalo, New York, United States|Novartis Investigative Site, Saratoga Springs, New York, United States|Novartis Investigative Site, Chapel Hill, North Carolina, United States|Novartis Investigative Site, Cincinnati, Ohio, United States|Novartis Investigative Site, Cincinnati, Ohio, United States|Novartis Investigative Site, Cleveland, Ohio, United States|Novartis Investigative Site, Philadelphia, Pennsylvania, United States|Novartis Investigative Site, Philadelphia, Pennsylvania, United States|Novartis Investigative Site, Pittsburgh, Pennsylvania, United States|Novartis Investigative Site, Charleston, South Carolina, United States|Novartis Investigative Site, Rapid City, South Dakota, United States|Novartis Investigative Site, Springfield, Tennessee, United States|Novartis Investigative Site, Brownsville, Texas, United States|Novartis Investigative Site, Charlottesville, Virginia, United States|Novartis Investigative Site, Richmond, Virginia, United States|Novartis Investigative Site, Richmond, Virginia, United States|Novartis Investigative Site, San Nicolas, Buenos Aires, Argentina|Novartis Investigative Site, Posadas, Misiones, Argentina|Novartis Investigative Site, Rosario, Santa Fe, Argentina|Novartis Investigative Site, Rosario, Santa Fe, Argentina|Novartis Investigative Site, San Miguel de Tucuman, Tucuman, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Cordoba, Argentina|Novartis Investigative Site, Cordoba, Argentina|Novartis Investigative Site, Corrientes, Argentina|Novartis Investigative Site, Corrientes, Argentina|Novartis Investigative Site, Corrientes, Argentina|Novartis Investigative Site, Quilmes, Argentina|Novartis Investigative Site, Santa Fe, Argentina|Novartis Investigative Site, Santa Fe, Argentina|Novartis Investigative Site, Tucuman, Argentina|Novartis Investigative Site, Antwerpen, Belgium|Novartis Investigative Site, Brasschaat, Belgium|Novartis Investigative Site, Genk, Belgium|Novartis Investigative Site, Gent, Belgium|Novartis Investigative Site, Hasselt, Belgium|Novartis Investigative Site, Huy, Belgium|Novartis Investigative Site, Leuven, Belgium|Novartis Investigative Site, Mechelen, Belgium|Novartis Investigative Site, Mol, Belgium|Novartis Investigative Site, Namur, Belgium|Novartis Investigative Site, Belo Horizonte, MG, Brazil|Novartis Investigative Site, Belo Horizonte, MG, Brazil|Novartis Investigative Site, Belo Horizonte, MG, Brazil|Novartis Investigative Site, Londrina, PR, Brazil|Novartis Investigative Site, Rio de Janeiro, RJ, Brazil|Novartis Investigative Site, Porto Alegre, RS, Brazil|Novartis Investigative Site, Campinas, SP, Brazil|Novartis Investigative Site, Sao Jose do Rio Preto, SP, Brazil|Novartis Investigative Site, São Paulo, SP, Brazil|Novartis Investigative Site, St. John's, Newfoundland and Labrador, Canada|Novartis Investigative Site, Halifax, Nova Scotia, Canada|Novartis Investigative Site, Ottawa, Ontario, Canada|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Montreal, Quebec, Canada|Novartis Investigative Site, Montreal, Quebec, Canada|Novartis Investigative Site, Barranquilla, Atlantico, Colombia|Novartis Investigative Site, Bogotá, Cundinamarca, Colombia|Novartis Investigative Site, Barranquilla, Colombia|Novartis Investigative Site, Bogotá, Colombia|Novartis Investigative Site, Bogotá, Colombia|Novartis Investigative Site, Cali, Colombia|Novartis Investigative Site, Florida Blanca, Colombia|Novartis Investigative Site, Hradec Kralove, CZE, Czech Republic|Novartis Investigative Site, Brno - Bohunice, Czech Republic|Novartis Investigative Site, Brno, Czech Republic|Novartis Investigative Site, Olomouc, Czech Republic|Novartis Investigative Site, Prague 4, Czech Republic|Novartis Investigative Site, Prague 5, Czech Republic|Novartis Investigative Site, Praha 10, Czech Republic|Novartis Investigative Site, Praha 2, Czech Republic|Novartis Investigative Site, Slany, Czech Republic|Novartis Investigative Site, Teplice, Czech Republic|Novartis Investigative Site, Znojmo, Czech Republic|Novartis Investigative Site, Jyvaskyla, Finland|Novartis Investigative Site, Turku, Finland|Novartis Investigative Site, Bordeaux Cedex, France|Novartis Investigative Site, Grenoble, France|Novartis Investigative Site, Le Chesnay, France|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Pessac Cedex, France|Novartis Investigative Site, Pontoise, France|Novartis Investigative Site, Toulouse Cedex, France|Novartis Investigative Site, Augsburg, Germany|Novartis Investigative Site, Bad Bevensen, Germany|Novartis Investigative Site, Bad Nauheim, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Bischofswerda, Germany|Novartis Investigative Site, Bonn, Germany|Novartis Investigative Site, Bremen, Germany|Novartis Investigative Site, Cloppenburg, Germany|Novartis Investigative Site, Cottbus, Germany|Novartis Investigative Site, Dessau, Germany|Novartis Investigative Site, Detmold, Germany|Novartis Investigative Site, Dortmund, Germany|Novartis Investigative Site, Dresden, Germany|Novartis Investigative Site, Frankfurt, Germany|Novartis Investigative Site, Frankfurt, Germany|Novartis Investigative Site, Greifswald, Germany|Novartis Investigative Site, Halle/'Saale, Germany|Novartis Investigative Site, Hamburg, Germany|Novartis Investigative Site, Herne, Germany|Novartis Investigative Site, Herrsching, Germany|Novartis Investigative Site, Jena, Germany|Novartis Investigative Site, Konstanz, Germany|Novartis Investigative Site, Köln, Germany|Novartis Investigative Site, Langen, Germany|Novartis Investigative Site, Ludwigslust, Germany|Novartis Investigative Site, Magdeburg, Germany|Novartis Investigative Site, Merseburg, Germany|Novartis Investigative Site, Muenchen, Germany|Novartis Investigative Site, Nordhorn, Germany|Novartis Investigative Site, Paderborn, Germany|Novartis Investigative Site, Quedlinburg, Germany|Novartis Investigative Site, Regensburg, Germany|Novartis Investigative Site, Rostock, Germany|Novartis Investigative Site, Sömmerda, Germany|Novartis Investigative Site, Weiden, Germany|Novartis Investigative Site, Pecs, Baranya, Hungary|Novartis Investigative Site, Balatonfured, Hungary|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Hodmezovasarhely, Hungary|Novartis Investigative Site, Nagykanizsa, Hungary|Novartis Investigative Site, Szolnok, Hungary|Novartis Investigative Site, Zalaegerszeg, Hungary|Novartis Investigative Site, Secunderabad, Andhra Pradesh, India|Novartis Investigative Site, Vadodara, Gujrat, India|Novartis Investigative Site, Bangalore, Karnataka, India|Novartis Investigative Site, Bangalore, Karnataka, India|Novartis Investigative Site, Mangalore, Karnataka, India|Novartis Investigative Site, Kochi, Kerala, India|Novartis Investigative Site, Indore, M.p., India|Novartis Investigative Site, Mumbai, Maharashtra, India|Novartis Investigative Site, Nagpur, Maharashtra, India|Novartis Investigative Site, Nagpur, Maharashtra, India|Novartis Investigative Site, Pune, Maharashtra, India|Novartis Investigative Site, Pune, Maharashtra, India|Novartis Investigative Site, Pune, Maharashtra, India|Novartis Investigative Site, Coimbatore, Tamil Nadu, India|Novartis Investigative Site, Coimbatore, Tamil Nadu, India|Novartis Investigative Site, Bangalore, India|Novartis Investigative Site, Hyderabad, India|Novartis Investigative Site, New Delhi, India|Novartis Investigative Site, Ashkelon, Israel|Novartis Investigative Site, Hadera, Israel|Novartis Investigative Site, Haifa, Israel|Novartis Investigative Site, Jerusalem, Israel|Novartis Investigative Site, Nazareth, Israel|Novartis Investigative Site, Safed, Israel|Novartis Investigative Site, Tel-Aviv, Israel|Novartis Investigative Site, Pavia, (pv), Italy|Novartis Investigative Site, Verona, (vr), Italy|Novartis Investigative Site, Bologna, BO, Italy|Novartis Investigative Site, Brescia, BS, Italy|Novartis Investigative Site, Cremona, CR, Italy|Novartis Investigative Site, Catania, CT, Italy|Novartis Investigative Site, Lagosanto, FE, Italy|Novartis Investigative Site, Foggia, FG, Italy|Novartis Investigative Site, Firenze, FI, Italy|Novartis Investigative Site, Grosseto, GR, Italy|Novartis Investigative Site, Pozzilli, IS, Italy|Novartis Investigative Site, Casarano, LE, Italy|Novartis Investigative Site, Lecce, LE, Italy|Novartis Investigative Site, Scorrano, LE, Italy|Novartis Investigative Site, Monza, MB, Italy|Novartis Investigative Site, Legnano, MI, Italy|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Palermo, PA, Italy|Novartis Investigative Site, Perugia, PG, Italy|Novartis Investigative Site, Parma, PR, Italy|Novartis Investigative Site, Albano Laziale, RM, Italy|Novartis Investigative Site, Roma, RM, Italy|Novartis Investigative Site, Roma, RM, Italy|Novartis Investigative Site, Rimini, RN, Italy|Novartis Investigative Site, Siena, SI, Italy|Novartis Investigative Site, Legnago, VR, Italy|Novartis Investigative Site, Quezon City, Metro Manila, Philippines|Novartis Investigative Site, Manila, Philippines|Novartis Investigative Site, Quezon City, Philippines|Novartis Investigative Site, Grodzisk Wielkopolski, Poland|Novartis Investigative Site, Klodzko, Poland|Novartis Investigative Site, Kraków, Poland|Novartis Investigative Site, Lublin, Poland|Novartis Investigative Site, Lódz, Poland|Novartis Investigative Site, Ruda Slaska, Poland|Novartis Investigative Site, Swidnica, Poland|Novartis Investigative Site, Szczecin, Poland|Novartis Investigative Site, Walbrzych, Poland|Novartis Investigative Site, Warszawa, Poland|Novartis Investigative Site, Warszawa, Poland|Novartis Investigative Site, Wroclaw, Poland|Novartis Investigative Site, Wroclaw, Poland|Novartis Investigative Site, Zabrze, Poland|Novartis Investigative Site, Zamosc, Poland|Novartis Investigative Site, Bucuresti, District 1, Romania|Novartis Investigative Site, Bucharest, Romania|Novartis Investigative Site, Bucharest, Romania|Novartis Investigative Site, Craiova, Romania|Novartis Investigative Site, Timisoara, Romania|Novartis Investigative Site, Tirgoviste, Romania|Novartis Investigative Site, Lubertsi, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Nizhnii Novgorod, Russian Federation|Novartis Investigative Site, S.-Petersburg, Russian Federation|Novartis Investigative Site, S.-Petersburg, Russian Federation|Novartis Investigative Site, S.-Petersburg, Russian Federation|Novartis Investigative Site, S.-Petersburg, Russian Federation|Novartis Investigative Site, Saint Petersburg, Russian Federation|Novartis Investigative Site, Saint Petersburg, Russian Federation|Novartis Investigative Site, Saint-Petersburg, Russian Federation|Novartis Investigative Site, Saint-Petersburg, Russian Federation|Novartis Investigative Site, Saint-Petersburg, Russian Federation|Novartis Investigative Site, Sankt-Peterburg, Russian Federation|Novartis Investigative Site, Saratov, Russian Federation|Novartis Investigative Site, Saratov, Russian Federation|Novartis Investigative Site, St.Petersburg, Russian Federation|Novartis Investigative Site, Yaroslavl, Russian Federation|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Liptovsky Mikulas, Slovak Republic, Slovakia|Novartis Investigative Site, Presov, Slovak Republic, Slovakia|Novartis Investigative Site, Bratislava, Slovakia|Novartis Investigative Site, Bratislava, Slovakia|Novartis Investigative Site, Komarno, Slovakia|Novartis Investigative Site, Kosice-Saca, Slovakia|Novartis Investigative Site, Kosice, Slovakia|Novartis Investigative Site, Levice, Slovakia|Novartis Investigative Site, Lucenec, Slovakia|Novartis Investigative Site, Martin, Slovakia|Novartis Investigative Site, Nitra, Slovakia|Novartis Investigative Site, Trnava, Slovakia|Novartis Investigative Site, Sanlúcar de Barrameda, Andalucia, Spain|Novartis Investigative Site, Villamartin, Andalucia, Spain|Novartis Investigative Site, Palma de Mallorca, Baleares, Spain|Novartis Investigative Site, Barcelona, Cataluña, Spain|Novartis Investigative Site, Valencia, Comunidad Valenciana, Spain|Novartis Investigative Site, Santiago de Compostela, Galicia, Spain|Novartis Investigative Site, Majadanonda, Madrid, Spain|Novartis Investigative Site, Pozuelo de Alarcón, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Göteborg, Sweden|Novartis Investigative Site, Stockholm, Sweden|Novartis Investigative Site, Stockholm, Sweden|Novartis Investigative Site, Stockholm, Sweden|Novartis Investigative Site, Kaohsiung, Taiwan|Novartis Investigative Site, Keelung City, Taiwan|Novartis Investigative Site, Lin-Ko, Taiwan|Novartis Investigative Site, Taichung, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Ankara, Turkey|Novartis Investigative Site, Atakum / Samsun, Turkey|Novartis Investigative Site, Etlik / Ankara, Turkey|Novartis Investigative Site, Istanbul, Turkey|Novartis Investigative Site, Istanbul, Turkey|Novartis Investigative Site, Izmir, Turkey|Novartis Investigative Site, Izmir, Turkey|Novartis Investigative Site, Kirikkale, Turkey|Novartis Investigative Site, Kocaeli, Turkey|Novartis Investigative Site, Sivas, Turkey|Novartis Investigative Site, Talas / Kayseri, Turkey",,"https://ClinicalTrials.gov/show/NCT00894387"
562,"NCT02201342","Pharmacokinetic/Pharmacodynamic Study of Udenafil in Adolescents",,"Completed","No Results Available","Single Ventricle Heart Disease After Fontan Surgery","Drug: Udenafil","Number of subjects with Serious Adverse Events|Plasma clearance of parent drug and active metabolite|Measurement of maximum oxygen consumption (VO2)|PAT Index|Myocardial Performance Index (MPI)","Mezzion Pharma Co. Ltd|National Heart, Lung, and Blood Institute (NHLBI)|Pediatric Heart Network","All","14 Years to 18 Years   (Child, Adult)","Phase 1|Phase 2","36","Industry|NIH|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHN-Udenafil-01|U01HL068270","July 2014","April 2015","April 2015","July 28, 2014",,"April 27, 2015","Riley Hospital for Children, Indianapolis, Indiana, United States|University of Michigan Congenital Heart Center, Ann Arbor, Michigan, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Primary Children's Medical Center, Salt Lake City, Utah, United States|The Hospital for Sick Children, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02201342"
563,"NCT02833831","Study to Evaluate the Effect of ALS-008176 on Cardiac Repolarization Interval in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: ALS-008176|Drug: Placebo|Drug: Moxifloxacin","Change from baseline in Corrected QT intervals (QTc)|Number of participants with adverse events as a measure of safety and tolerability|Change from baseline in ECG parameters: RR interval, PR interval and QRS interval|ALS-008112 and ALS 008144 plasma concentration-effect relationship for changes in QT/QTc (Panels 1 and 2)|Change from Baseline in QT/QTc interval in healthy subjects (Panel 2)|Maximum Observed Plasma Concentration (Cmax)|Time to Reach Maximum Observed Plasma Concentration (Tmax)|Area Under the Plasma Concentration-Time Curve From Time Zero to Last Quantifiable Time (AUC [0- last])|Area Under the Plasma Concentration-Time Curve From Time Zero to Infinite Time (AUC [0- infinity])|Elimination Half-Life (t1/2)|Elimination Rate Constant (Lambda[z])|Plasma Concentration at 24 hours post dosing|Area Under the Plasma Concentration-Time Curve From Time Zero to 24 Hours (AUC[0-24])|Change from baseline in Heart Rate|Change from baseline in T wave morphology|Frequency of T wave morphology changes","Janssen Research & Development, LLC","All","18 Years to 50 Years   (Adult)","Phase 1","103","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CR108169|64041575RSV1003","June 2, 2016","February 17, 2017","February 24, 2017","July 14, 2016",,"September 18, 2017","Tempe, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT02833831"
564,"NCT01762839","A Study to Assess the Cardiac Safety of Oritavancin in Healthy Volunteers",,"Completed","No Results Available","Healthy","Drug: Single-Dose IV Oritavancin Diphosphate|Drug: Placebo|Drug: Moxifloxacin","Placebo-adjusted change from Baseline in QTcF|Placebo-adjusted change from baseline in QTcB, HR, RR, PR, and QRS interval analyses.|Placebo adjusted change from Baseline in the appearance or worsening of ST, T and U-wave morphology.|Effects on the QTc interval related to plasma concentration levels of oritavancin|Evaluate the number of volunteers with adverse events or abnormalities in lab/urine results and safety ECGs as measures of safety and tolerability","The Medicines Company","All","18 Years to 60 Years   (Adult)","Phase 1","150","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MDCO-ORI-12-02","January 2013","January 2013","March 2013","January 8, 2013",,"April 17, 2013","Spaulding Clinical, West Bend, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT01762839"
565,"NCT02283788","Trial to Evaluate the Effect of Eslicarbazepine Acetate on Cardiac Repolarization",,"Completed","Has Results","Epilepsy","Drug: BIA 2-093|Drug: Moxifloxacin|Drug: Placebo","QTcI - QT Interval Individually Corrected for Heart Rate - Day 5|QTcB - QT Interval Corrected for Heart Rate Using Bazett's Formula|QTcF - QT Interval Corrected Using Fridericia's Formula","Bial - Portela C S.A.","All","18 Years to 45 Years   (Adult)","Phase 1","67","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BIA-2093-116","March 2007","June 2007","June 2007","November 5, 2014","December 22, 2014","December 22, 2014","Comprehensive Phase OneTM, Miramar, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02283788"
566,"NCT02293148","Single Dose, Pharmacokinetic, Safety, Tolerability and QTc Study of GSK1278863 in Healthy Volunteers",,"Completed","No Results Available","Anaemia","Drug: GSK1278863 75 mg|Drug: GSK1278863 500 mg|Drug: Moxifloxacin 400 mg|Drug: Placebo matching GSK1278863|Drug: Placebo matching Moxifloxacin","Composite of pharmacokinetic (PK) parameters for GSK1278863 and its metabolites for Part A|Change from baseline in QT duration corrected for heart rate by Fridericia's formula (QTcF) interval for Part B|Assessment of 12-lead ECG for Part A|Assessment of Vital Signs for Part A|Number of participants with Adverse Events (AE) for Part A|Assessment of Clinical Laboratory Tests for Part A|Change from baseline in QT duration corrected for heart rate by Bazett's formula (QTcB), heart rate (HR), PR, QRS, and QT interval corrected for heart rate (QTci/QTciL interval) for GSK1278863 for Part B|Change from baseline in QTcB, HR, PR, QRS, and QTci/QTciL interval for moxifloxacin for Part B|Composite of PK parameters for GSK1278863, its metabolites and moxifloxacin for Part B|Maximal change from baseline in ECG parameters for Part B|Change from baseline for other ECG parameters for Part B|Change in QTc Cmax for Part B|Assessment of Vital Signs for Part B|Number of participants with Adverse Events in Part B|Assessment of Clinical Laboratory Tests for Part B|ECG assessment as a safety measure in Part B","GlaxoSmithKline","All","18 Years to 45 Years   (Adult)","Phase 1","61","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","113635","November 17, 2014","March 10, 2015","March 10, 2015","November 18, 2014",,"July 24, 2018","GSK Investigational Site, Overland Park, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT02293148"
567,"NCT01565720","Study of the Effect of Repeat Doses of Isavuconazole on Cardiac Repolarization",,"Completed","No Results Available","Pharmacokinetics of Isavuconazole|Healthy Volunteers","Drug: Isavuconazole|Drug: Placebo|Drug: Moxifloxacin","Change from baseline in QT interval corrected for heart rate using Fridericia's correction (QTcF)|Change from baseline in Electrocardiogram (ECG) variables: QT, PR, RR intervals, QRS, and Heart Rate","Astellas Pharma Global Development, Inc.|Basilea Pharmaceutica International Ltd|Astellas Pharma Inc","All","18 Years to 55 Years   (Adult)","Phase 1","161","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)","9766-CL-0017","March 2012","June 2012","June 2012","March 29, 2012",,"July 9, 2012","Parexel, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT01565720"
568,"NCT02877095","Subcutaneous Furosemide in Acute Decompensated Heart Failure Pilot","SUBQ-Pilot","Completed","Has Results","Acute Heart Failure","Drug: Furosemide","Overall Safety of a Strategy Based on Subcutaneous Delivery of Furosemide in Inpatients and Outpatients as Measured by Number of Adverse Events","Adrian Hernandez|Duke University","All","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro00070399","December 19, 2016","November 7, 2017","November 7, 2017","August 24, 2016","March 15, 2019","March 15, 2019","Emory University Hospital, Atlanta, Georgia, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Duke University Medical Center, Durham, North Carolina, United States|Metro Health System, Cleveland, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/95/NCT02877095/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02877095"
